ServiceID,DelayType,CauseCategory,MinutesLate
S2408250002,PRIMARY,SIGNAL,1
S2505280091,PRIMARY,OLE,9
S2505280091,REACTIONARY,OLE,6
S2501260036,PRIMARY,OPERATIONS,9
S2502010107,PRIMARY,TRACK,4
S2502010107,REACTIONARY,WEATHER,1
S2501090002,PRIMARY,FLEET,4
S2501090002,REACTIONARY,POWER,1
S2408150006,PRIMARY,FLEET,16
S2408150006,REACTIONARY,SIGNAL,1
S2409070080,PRIMARY,WEATHER,18
S2409070080,REACTIONARY,EXTERNAL,1
S2506010056,PRIMARY,FLEET,3
S2504140062,PRIMARY,OPERATIONS,8
S2409040073,PRIMARY,OPERATIONS,5
S2505030047,PRIMARY,OLE,1
S2505210066,PRIMARY,WEATHER,1
S2505210066,REACTIONARY,FLEET,4
S2506010049,PRIMARY,FLEET,16
S2409160046,PRIMARY,FLEET,2
S2409160046,REACTIONARY,POWER,3
S2411230058,PRIMARY,FLEET,18
S2503250100,PRIMARY,SIGNAL,1
S2406020034,PRIMARY,TRACK,19
S2408250020,PRIMARY,FLEET,3
S2408250020,REACTIONARY,OPERATIONS,2
S2407250035,PRIMARY,OPERATIONS,20
S2407250035,REACTIONARY,POWER,6
S2411270061,PRIMARY,TRACK,9
S2408130022,PRIMARY,OLE,3
S2408130022,REACTIONARY,SIGNAL,4
S2407060032,PRIMARY,EXTERNAL,8
S2412280076,PRIMARY,OPERATIONS,6
S2412280076,REACTIONARY,SIGNAL,7
S2406250000,PRIMARY,SIGNAL,14
S2407150078,PRIMARY,WEATHER,1
S2409210051,PRIMARY,FLEET,1
S2406010098,PRIMARY,TRACK,1
S2406010098,REACTIONARY,FLEET,6
S2501130017,PRIMARY,FLEET,13
S2501130017,REACTIONARY,FLEET,1
S2506200049,PRIMARY,OPERATIONS,17
S2411100027,PRIMARY,TRACK,6
S2502060044,PRIMARY,FLEET,12
S2504050008,PRIMARY,OPERATIONS,8
S2408110052,PRIMARY,EXTERNAL,17
S2408110052,REACTIONARY,WEATHER,6
S2503140077,PRIMARY,OPERATIONS,9
S2506290029,PRIMARY,OLE,6
S2506290029,REACTIONARY,EXTERNAL,3
S2506240021,PRIMARY,FLEET,5
S2504140058,PRIMARY,TRACK,5
S2503290080,PRIMARY,EXTERNAL,7
S2503290080,REACTIONARY,FLEET,2
S2410270010,PRIMARY,TRACK,8
S2501070062,PRIMARY,FLEET,5
S2501070062,REACTIONARY,FLEET,10
S2501040008,PRIMARY,SIGNAL,2
S2502190016,PRIMARY,SIGNAL,15
S2501180090,PRIMARY,SIGNAL,6
S2409300053,PRIMARY,OPERATIONS,7
S2407130025,PRIMARY,FLEET,6
S2407130025,REACTIONARY,OLE,12
S2506040053,PRIMARY,OPERATIONS,9
S2506040053,REACTIONARY,POWER,12
S2409030024,PRIMARY,OLE,1
S2406270082,PRIMARY,SIGNAL,17
S2503260046,PRIMARY,TRACK,1
S2503260046,REACTIONARY,OLE,9
S2503280036,PRIMARY,OPERATIONS,6
S2410010060,PRIMARY,OPERATIONS,2
S2503300097,PRIMARY,EXTERNAL,4
S2503300097,REACTIONARY,TRACK,1
S2410260005,PRIMARY,TRACK,1
S2505090052,PRIMARY,TRACK,3
S2505090052,REACTIONARY,OLE,1
S2406230070,PRIMARY,FLEET,12
S2406230070,REACTIONARY,WEATHER,6
S2503020060,PRIMARY,SIGNAL,2
S2503020060,REACTIONARY,POWER,8
S2410150060,PRIMARY,OLE,1
S2410060064,PRIMARY,OPERATIONS,8
S2410060064,REACTIONARY,OPERATIONS,14
S2502180066,PRIMARY,SIGNAL,3
S2502180066,REACTIONARY,WEATHER,1
S2412130098,PRIMARY,POWER,1
S2501010037,PRIMARY,FLEET,4
S2501010037,REACTIONARY,SIGNAL,4
S2506110044,PRIMARY,SIGNAL,1
S2506110044,REACTIONARY,SIGNAL,12
S2505120004,PRIMARY,SIGNAL,11
S2412300090,PRIMARY,SIGNAL,5
S2412300090,REACTIONARY,POWER,2
S2411010057,PRIMARY,OPERATIONS,1
S2411010057,REACTIONARY,OPERATIONS,8
S2505270038,PRIMARY,FLEET,17
S2501100036,PRIMARY,TRACK,10
S2501100036,REACTIONARY,SIGNAL,6
S2409130029,PRIMARY,FLEET,14
S2408070040,PRIMARY,SIGNAL,1
S2408070040,REACTIONARY,OLE,1
S2407280021,PRIMARY,FLEET,12
S2506230076,PRIMARY,SIGNAL,7
S2504020042,PRIMARY,FLEET,20
S2410040010,PRIMARY,OPERATIONS,11
S2410040010,REACTIONARY,EXTERNAL,7
S2505020081,PRIMARY,SIGNAL,13
S2408060042,PRIMARY,TRACK,16
S2408060042,REACTIONARY,SIGNAL,9
S2502120076,PRIMARY,OPERATIONS,3
S2502120076,REACTIONARY,POWER,4
S2406110054,PRIMARY,SIGNAL,11
S2411050006,PRIMARY,SIGNAL,15
S2411050006,REACTIONARY,EXTERNAL,1
S2501080021,PRIMARY,SIGNAL,1
S2501080021,REACTIONARY,POWER,7
S2409090020,PRIMARY,OLE,1
S2406140025,PRIMARY,FLEET,8
S2409010047,PRIMARY,SIGNAL,2
S2501260021,PRIMARY,EXTERNAL,8
S2409110037,PRIMARY,TRACK,5
S2411110101,PRIMARY,TRACK,3
S2411110101,REACTIONARY,FLEET,12
S2412170050,PRIMARY,TRACK,1
S2412170050,REACTIONARY,SIGNAL,4
S2407230017,PRIMARY,FLEET,2
S2407230017,REACTIONARY,OPERATIONS,8
S2503290060,PRIMARY,TRACK,9
S2503290060,REACTIONARY,EXTERNAL,1
S2503110062,PRIMARY,TRACK,2
S2503110062,REACTIONARY,POWER,2
S2406280085,PRIMARY,OPERATIONS,10
S2501070009,PRIMARY,EXTERNAL,1
S2501070009,REACTIONARY,SIGNAL,8
S2502070068,PRIMARY,WEATHER,21
S2503080066,PRIMARY,TRACK,5
S2503080066,REACTIONARY,FLEET,10
S2408240011,PRIMARY,OLE,9
S2408240011,REACTIONARY,OLE,7
S2406050024,PRIMARY,FLEET,8
S2406150053,PRIMARY,WEATHER,12
S2506150033,PRIMARY,OPERATIONS,1
S2506150033,REACTIONARY,OLE,11
S2501270065,PRIMARY,OPERATIONS,1
S2409290060,PRIMARY,OLE,13
S2506040039,PRIMARY,WEATHER,4
S2502280045,PRIMARY,TRACK,14
S2409090035,PRIMARY,SIGNAL,11
