ServiceDate,ServiceID,TOC,StationCode,PlannedArrivalUTC,ActualArrivalUTC,DelayMinutes,RightTimeFlag,To3Flag,To5Flag,CancelledFlag
2024-06-01,S2406010000,AVT,DHM,2024-06-01T14:51:00,2024-06-01T14:51:00,0.0,1,1,1,0
2024-06-01,S2406010001,NTH,YRK,2024-06-01T15:57:00,2024-06-01T15:58:00,1.0,0,1,1,0
2024-06-01,S2406010002,CTL,SOU,2024-06-01T12:40:00,2024-06-01T12:41:00,1.0,0,1,1,0
2024-06-01,S2406010003,TPE,EDB,2024-06-01T12:14:00,2024-06-01T12:18:00,4.0,0,0,1,0
2024-06-01,S2406010004,TLK,OXF,2024-06-01T21:48:00,2024-06-01T21:52:00,4.0,0,0,1,0
2024-06-01,S2406010005,TLK,GLC,2024-06-01T13:55:00,2024-06-01T13:55:00,0.0,1,1,1,0
2024-06-01,S2406010006,CTL,OXF,2024-06-01T14:08:00,2024-06-01T14:08:00,0.0,1,1,1,0
2024-06-01,S2406010007,TPE,KGX,2024-06-01T07:50:00,2024-06-01T07:52:00,2.0,0,1,1,0
2024-06-01,S2406010008,AVT,EUS,2024-06-01T10:49:00,2024-06-01T10:53:00,4.0,0,0,1,0
2024-06-01,S2406010009,NTH,NOT,2024-06-01T21:31:00,2024-06-01T21:31:00,0.0,1,1,1,0
2024-06-01,S2406010010,LNER,LIV,2024-06-01T14:48:00,2024-06-01T14:51:00,3.0,0,1,1,0
2024-06-01,S2406010011,EMR,MAN,2024-06-01T10:17:00,2024-06-01T10:17:00,0.0,1,1,1,0
2024-06-01,S2406010012,NTH,GLC,2024-06-01T09:23:00,2024-06-01T09:23:00,0.0,1,1,1,0
2024-06-01,S2406010013,LNER,RDG,2024-06-01T20:12:00,2024-06-01T20:12:00,0.0,1,1,1,0
2024-06-01,S2406010014,CTL,GLC,2024-06-01T18:59:00,2024-06-01T19:01:00,2.0,0,1,1,0
2024-06-01,S2406010015,LNER,CDF,2024-06-01T19:19:00,2024-06-01T19:19:00,0.0,1,1,1,0
2024-06-01,S2406010016,LNER,LIV,2024-06-01T16:53:00,2024-06-01T16:53:00,0.0,1,1,1,0
2024-06-01,S2406010017,EMR,EDB,2024-06-01T11:33:00,2024-06-01T11:35:00,2.0,0,1,1,0
2024-06-01,S2406010018,TLK,BTN,2024-06-01T08:45:00,2024-06-01T08:49:00,4.0,0,0,1,0
2024-06-01,S2406010019,NTH,EDB,2024-06-01T08:21:00,2024-06-01T08:28:00,7.0,0,0,0,0
2024-06-01,S2406010020,NTH,NOT,2024-06-01T14:37:00,2024-06-01T14:39:00,2.0,0,1,1,0
2024-06-01,S2406010021,NTH,PMH,2024-06-01T15:08:00,2024-06-01T15:10:00,2.0,0,1,1,0
2024-06-01,S2406010022,NTH,LIV,2024-06-01T06:44:00,2024-06-01T06:45:00,1.0,0,1,1,0
2024-06-01,S2406010023,LNER,NCL,2024-06-01T14:30:00,2024-06-01T14:48:00,18.0,0,0,0,0
2024-06-01,S2406010024,LNER,RDG,2024-06-01T19:21:00,2024-06-01T19:25:00,4.0,0,0,1,0
2024-06-01,S2406010025,LNER,CDF,2024-06-01T05:13:00,2024-06-01T05:14:00,1.0,0,1,1,0
2024-06-01,S2406010026,TPE,RDG,2024-06-01T07:26:00,2024-06-01T07:28:00,2.0,0,1,1,0
2024-06-01,S2406010027,NTH,LIV,2024-06-01T19:28:00,2024-06-01T19:28:00,0.0,1,1,1,0
2024-06-01,S2406010028,LNER,BNM,2024-06-01T07:35:00,2024-06-01T07:37:00,2.0,0,1,1,0
2024-06-01,S2406010029,LNER,INV,2024-06-01T16:50:00,2024-06-01T16:55:00,5.0,0,0,1,0
2024-06-01,S2406010030,TPE,BTN,2024-06-01T12:01:00,2024-06-01T12:04:00,3.0,0,1,1,0
2024-06-01,S2406010031,NTH,LDS,2024-06-01T14:56:00,2024-06-01T14:56:00,0.0,1,1,1,0
2024-06-01,S2406010032,TPE,BRS,2024-06-01T13:03:00,2024-06-01T13:03:00,0.0,1,1,1,0
2024-06-01,S2406010033,LNER,INV,2024-06-01T08:48:00,2024-06-01T08:51:00,3.0,0,1,1,0
2024-06-01,S2406010034,TPE,NCL,2024-06-01T19:15:00,2024-06-01T19:16:00,1.0,0,1,1,0
2024-06-01,S2406010035,NTH,OXF,2024-06-01T22:18:00,2024-06-01T22:18:00,0.0,1,1,1,0
2024-06-01,S2406010036,LNER,MAN,2024-06-01T09:25:00,2024-06-01T09:31:00,6.0,0,0,0,0
2024-06-01,S2406010037,LNER,EDB,2024-06-01T19:09:00,2024-06-01T19:09:00,0.0,1,1,1,0
2024-06-01,S2406010038,NTH,NOT,2024-06-01T09:53:00,2024-06-01T09:58:00,5.0,0,0,1,0
2024-06-01,S2406010039,TLK,PAD,2024-06-01T06:17:00,2024-06-01T06:17:00,0.0,1,1,1,0
2024-06-01,S2406010040,CTL,BNM,2024-06-01T12:47:00,2024-06-01T12:47:00,0.0,1,1,1,0
2024-06-01,S2406010041,TLK,BNM,2024-06-01T21:35:00,2024-06-01T21:56:00,21.0,0,0,0,0
2024-06-01,S2406010042,TPE,INV,2024-06-01T07:59:00,2024-06-01T08:01:00,2.0,0,1,1,0
2024-06-01,S2406010043,CTL,EDB,2024-06-01T19:51:00,2024-06-01T19:55:00,4.0,0,0,1,0
2024-06-01,S2406010044,TPE,YRK,2024-06-01T09:30:00,2024-06-01T09:30:00,0.0,1,1,1,0
2024-06-01,S2406010045,NTH,ABW,2024-06-01T17:46:00,2024-06-01T17:50:00,4.0,0,0,1,0
2024-06-01,S2406010046,TPE,NWI,2024-06-01T12:13:00,2024-06-01T12:14:00,1.0,0,1,1,0
2024-06-01,S2406010047,GWR,LIV,2024-06-01T16:44:00,2024-06-01T16:49:00,5.0,0,0,1,0
2024-06-01,S2406010048,AVT,PMH,2024-06-01T08:29:00,2024-06-01T08:45:00,16.0,0,0,0,0
2024-06-01,S2406010049,GWR,PMH,2024-06-01T08:02:00,2024-06-01T08:09:00,7.0,0,0,0,0
2024-06-01,S2406010050,LNER,MAN,2024-06-01T18:57:00,2024-06-01T19:04:00,7.0,0,0,0,0
2024-06-01,S2406010051,CTL,DHM,2024-06-01T21:43:00,2024-06-01T21:44:00,1.0,0,1,1,0
2024-06-01,S2406010052,GWR,NCL,2024-06-01T08:43:00,2024-06-01T08:48:00,5.0,0,0,1,0
2024-06-01,S2406010053,NTH,BRS,2024-06-01T18:00:00,2024-06-01T18:03:00,3.0,0,1,1,0
2024-06-01,S2406010054,TPE,PAD,2024-06-01T19:16:00,2024-06-01T19:16:00,0.0,1,1,1,0
2024-06-01,S2406010055,TPE,EDB,2024-06-01T23:12:00,2024-06-01T23:12:00,0.0,1,1,1,0
2024-06-01,S2406010056,NTH,ABW,2024-06-01T17:37:00,2024-06-01T17:39:00,2.0,0,1,1,0
2024-06-01,S2406010057,TLK,CDF,2024-06-01T18:10:00,2024-06-01T18:19:00,9.0,0,0,0,0
2024-06-01,S2406010058,NTH,GLC,2024-06-01T15:36:00,2024-06-01T15:40:00,4.0,0,0,1,0
2024-06-01,S2406010059,TLK,MAN,2024-06-01T14:48:00,2024-06-01T14:48:00,0.0,1,1,1,0
2024-06-01,S2406010060,CTL,YRK,2024-06-01T05:30:00,2024-06-01T05:30:00,0.0,1,1,1,0
2024-06-01,S2406010061,NTH,KGX,2024-06-01T12:52:00,2024-06-01T12:57:00,5.0,0,0,1,0
2024-06-01,S2406010062,EMR,INV,2024-06-01T12:12:00,2024-06-01T12:17:00,5.0,0,0,1,0
2024-06-01,S2406010063,AVT,PMH,2024-06-01T20:32:00,2024-06-01T20:34:00,2.0,0,1,1,0
2024-06-01,S2406010064,TLK,NWI,2024-06-01T23:42:00,2024-06-01T23:42:00,0.0,1,1,1,0
2024-06-01,S2406010065,TPE,NWI,2024-06-01T18:44:00,2024-06-01T18:47:00,3.0,0,1,1,0
2024-06-01,S2406010066,AVT,MAN,2024-06-01T10:30:00,2024-06-01T10:30:00,0.0,1,1,1,0
2024-06-01,S2406010067,GWR,RDG,2024-06-01T11:06:00,2024-06-01T11:07:00,1.0,0,1,1,0
2024-06-01,S2406010068,LNER,KGX,2024-06-01T16:28:00,2024-06-01T16:29:00,1.0,0,1,1,0
2024-06-01,S2406010069,TPE,DHM,2024-06-01T23:17:00,2024-06-01T23:19:00,2.0,0,1,1,0
